id,value
01003,9.4
01015,17.7
01043,13.1
01049,20.6
01051,11.5
01055,18.2
01069,16.7
01073,16.8
01077,12.6
01081,19.5
01083,12.1
01089,13.4
01095,21.9
01097,19.6
01101,21.6
01103,15.3
01115,15.1
01117,7.4
01121,17.9
01125,15.5
01127,16.9
02020,9.9
02090,6
02170,11.9
04001,33.6
04003,14.1
04005,19
04013,13.4
04015,16.7
04017,26.8
04019,16.7
04021,12.6
04025,14.1
04027,18.3
05007,9.4
05031,14.1
05045,14
05051,15.1
05069,22.5
05085,11.7
05119,14.8
05125,6.6
05131,20.3
05143,14.2
05145,14.4
06001,9.2
06007,18.3
06013,9.3
06017,8.2
06019,21.1
06023,20.5
06025,20.7
06029,21.4
06031,18.2
06033,20.8
06037,14.9
06039,22.6
06041,8.2
06045,15.8
06047,23.8
06053,11.4
06055,5.6
06057,11.9
06059,11.5
06061,8.5
06065,12.9
06067,14.1
06071,16.2
06073,11.8
06075,10
06077,15.5
06079,12.1
06081,6.2
06083,14.5
06085,7.4
06087,12.7
06089,17.7
06095,9.9
06097,9.2
06099,13.5
06101,12
06107,24.6
06111,9.3
06113,18.5
06115,13.4
08001,10.4
08005,7.6
08013,13.4
08014,4.7
08031,12.2
08035,3.5
08041,10.7
08059,7.6
08069,11.4
08077,16.2
08101,18.1
08123,9
09001,8.8
09003,11
09005,6.7
09007,6.7
09009,10.7
09011,8.2
09013,7.2
09015,11.7
10001,13.8
10003,14.1
10005,12.1
11001,16.6
12001,21.8
12005,14.9
12009,12.3
12011,13.1
12015,10.1
12017,13.6
12019,10.9
12021,12.1
12023,12.6
12031,15.1
12033,15.8
12035,14.2
12053,13.8
12055,20.2
12057,15.6
12061,8.7
12069,13
12071,11.6
12073,18.2
12081,10.2
12083,16.1
12085,10.6
12086,16.6
12087,11.9
12089,8.7
12091,11.2
12095,15.4
12097,14.1
12099,11.7
12101,13.1
12103,12
12105,16
12107,27.7
12109,10.4
12111,11.9
12113,10
12115,8.8
12117,11.5
12119,8.1
12127,15.1
12131,19.1
13013,13.1
13015,13.6
13021,25
13031,27.1
13045,18
13047,9.4
13051,15.6
13057,7.9
13059,27
13063,14.8
13067,9.2
13073,6.2
13077,11.2
13089,14.8
13095,27.4
13097,11
13113,5.8
13115,19.8
13117,5.6
13121,14.2
13127,16.5
13135,10.8
13139,13.1
13151,10.9
13153,13.4
13157,11.9
13185,26.2
13215,23.7
13217,12.5
13223,9.3
13245,23
13247,13.6
13255,19.3
13285,24.4
13295,14.4
13297,13
13313,18.9
15001,15
15003,8.4
15007,9.5
15009,9.7
16001,11.4
16005,13.6
16019,9.6
16027,16.4
16055,10.1
16083,14
17001,13.9
17019,19.8
17031,14.4
17037,14.8
17043,6
17089,9.2
17091,15.4
17093,6.5
17097,7.4
17099,15.1
17111,6
17113,17.7
17115,12.8
17119,15.1
17143,15.2
17161,12.4
17163,15.8
17167,16.9
17179,8.9
17183,19.9
17197,6.8
17199,15.1
17201,14
18003,12.7
18005,12.4
18011,5.2
18019,10.7
18035,20.4
18039,10.3
18043,10.1
18053,18.4
18057,3.5
18059,4.9
18063,4.5
18067,14.8
18081,10.1
18085,11.5
18089,15.4
18091,14.3
18095,18
18097,17.1
18105,22.9
18109,9.7
18127,11.9
18141,15.9
18157,18.6
18163,18.4
18167,18.9
18177,16.1
19013,15.9
19049,3.7
19061,9.7
19103,16.4
19113,9
19153,9.5
19155,9.5
19163,10.6
19169,19.5
19193,13.4
20015,11.7
20045,17.4
20091,5.3
20103,4.2
20161,21.8
20173,14
20177,11
20209,17.8
21015,7.4
21029,9.3
21037,10.5
21047,19.8
21059,17.9
21067,16.6
21093,13
21111,13.7
21117,12.2
21145,14.5
21151,16.9
21185,4.6
21227,16.6
22005,14.8
22015,19.5
22017,26.7
22019,13.1
22033,18.8
22045,24.3
22051,17.1
22055,18.5
22057,15.4
22063,10.7
22071,26.2
22073,26.2
22079,20
22097,26.3
22103,11.4
22105,20.7
22109,20.2
23001,11.7
23003,14.3
23005,8
23011,12.9
23019,14.6
23031,7
24001,16.2
24003,5.8
24005,8.1
24009,5.4
24013,4.6
24015,9.5
24017,7.6
24021,7.1
24025,7.2
24027,6.3
24031,6.9
24033,8.4
24037,9
24043,14.4
24045,14.4
24510,22.2
25001,6.8
25003,9
25005,11.1
25009,10.2
25011,9.8
25013,17.3
25015,9.6
25017,8.1
25021,6.8
25023,7
25025,18
25027,10.4
26005,9.3
26017,15.1
26021,17.7
26025,20.7
26037,7.8
26045,8.4
26049,18.3
26055,10.5
26065,20.2
26073,24.7
26075,13.2
26077,14
26081,10.2
26087,8.1
26091,9.6
26093,5.2
26099,11.3
26103,19.4
26111,10.8
26115,13.1
26121,15
26125,7.7
26139,8.8
26145,17.4
26147,12.3
26155,9.7
26159,11.7
26161,13
26163,22.7
27003,4.8
27013,18.3
27019,3.6
27037,5.8
27053,10.5
27109,9
27123,13.9
27131,13
27137,14.9
27139,2.8
27141,1.5
27145,11.3
27163,3.8
27171,5.5
28033,7.9
28035,22.8
28047,19.8
28049,19.2
28059,13.8
28067,21.9
28075,18.2
28081,12
28089,10.1
28121,8.2
29019,15.9
29021,15.4
29031,16.2
29037,11
29043,10.7
29047,7.4
29051,13.3
29071,10.7
29077,16.7
29095,13.7
29097,17.5
29099,11.4
29165,6.6
29183,5.1
29187,16.4
29189,10
29510,20.3
30013,10.3
30029,10.2
30031,10.7
30049,6.5
30063,15.4
30111,10.1
31055,11.4
31109,11.5
31153,4.8
32003,13.8
32031,10.8
33005,9.1
33009,9.4
33011,8.2
33013,6.6
33015,5.1
33017,9.5
34001,14.8
34003,6.6
34005,6.3
34007,11.5
34009,9.7
34011,19.2
34013,15.8
34015,6.2
34017,14
34019,3.8
34021,11.7
34023,8.6
34025,7.2
34027,4.8
34029,10.4
34031,16.8
34033,15.8
34035,5.2
34037,4.7
34039,9
34041,7.2
35001,14.7
35005,17.2
35013,28.1
35025,14.3
35031,40.8
35035,16.5
35043,17.6
35045,24.8
35049,11.8
35061,16.6
36001,11.2
36005,28
36007,17.8
36009,15.7
36011,11.4
36013,17.7
36015,14.9
36019,12.9
36027,10.4
36029,14.6
36045,15.6
36047,19.8
36051,11.5
36053,9.6
36055,14.8
36059,6
36061,16.2
36063,12.1
36065,16.1
36067,13.9
36069,9.2
36071,10.1
36075,17
36079,4.8
36081,12.1
36083,11.7
36085,11.8
36087,13.6
36089,19.3
36091,6.4
36093,12.8
36101,12.4
36103,6.8
36105,12.6
36109,20.5
36111,14.1
36113,7.4
36117,13.1
36119,8.3
37001,14.4
37019,11.5
37021,10.5
37023,17.9
37025,12.8
37027,16.8
37031,14
37035,12.1
37037,11.4
37045,18.9
37049,17.7
37051,18.6
37057,16
37063,16.1
37067,16.7
37069,17.5
37071,15
37081,14.2
37085,16.9
37089,9.3
37097,12
37101,16.7
37109,14.3
37119,11.1
37125,9.3
37127,14.8
37129,16.1
37133,12.9
37135,14.1
37147,22
37151,17.5
37155,28.7
37157,15.8
37159,15
37161,12.9
37171,15.5
37179,9.4
37183,8.9
37191,21.2
37193,19.8
37195,16.5
38015,7.6
38017,8.5
38035,17.5
38101,11.1
39003,14.9
39007,20.6
39009,29.4
39013,6.5
39017,10.5
39023,15.3
39025,8.6
39029,14.5
39035,18
39041,5.7
39043,12.9
39045,9.1
39049,15.9
39055,6.7
39057,9.7
39061,16.1
39063,10.3
39081,17
39085,8.8
39089,8.1
39093,13.9
39095,17.9
39099,18.4
39101,16.6
39103,5.7
39109,9.1
39113,16
39119,14
39133,12
39139,12.3
39141,15.8
39145,20.7
39151,14.5
39153,12.7
39155,15.5
39157,14
39165,4.2
39169,15.7
39173,11.6
40017,6.6
40027,11.9
40031,15.9
40037,16.8
40101,26.1
40109,16
40119,27.5
40125,14.6
40131,10.2
40143,14.6
40145,10
41003,17.5
41005,8.3
41017,9.4
41019,13.9
41029,14.1
41033,17.4
41035,19.5
41039,16.8
41043,14.6
41047,15.3
41051,14.6
41053,19.3
41059,16.4
41067,7.9
41071,10.5
42001,7.6
42003,11.2
42005,12.7
42007,11
42011,11.8
42013,14.6
42017,6.1
42019,8.1
42021,15.1
42025,13.8
42027,18.3
42029,6.4
42033,14.8
42037,13.3
42039,14.1
42041,6.7
42043,12.2
42045,9.7
42049,16
42051,17.6
42055,9.8
42063,12.8
42069,14.5
42071,10
42073,12.4
42075,11.4
42077,12.8
42079,13.8
42081,12.2
42085,11.2
42089,7.3
42091,5.7
42095,10.2
42097,14.4
42101,25.7
42107,11.6
42111,11.5
42125,8.9
42129,9.9
42133,9.5
44003,7.5
44005,7.5
44007,14.2
44009,8.8
45003,14.3
45007,14.4
45013,10.2
45015,11.6
45019,13.1
45031,20.9
45035,9.5
45041,18.4
45045,12.5
45047,18.8
45051,16.8
45055,14.7
45057,14.6
45059,24.3
45063,11.9
45073,17.7
45075,23.5
45077,15.3
45079,17
45083,13.6
45085,18.8
45091,11.8
46099,8.2
46103,12.4
47001,15.6
47009,12.6
47011,18.8
47037,14.5
47059,19
47065,12.2
47093,13.9
47113,17.7
47119,8.8
47125,13.5
47141,21.7
47147,13.4
47149,10.5
47155,11.8
47157,18.8
47163,15.6
47165,8.1
47179,15.1
47187,3.2
47189,9.1
48005,21.7
48021,7
48027,14
48029,15.7
48037,13.4
48039,8.4
48041,25.6
48061,27.9
48085,6
48091,10.2
48099,12.7
48113,14.9
48121,7.2
48135,11.5
48139,7.5
48141,21
48157,8.2
48167,11.8
48181,13.7
48183,16.5
48187,9.6
48201,16.1
48203,18.1
48209,13.8
48213,16.8
48215,30
48231,18.9
48245,18.4
48251,9.3
48257,8.8
48291,13.5
48303,19.7
48309,17.7
48329,10.7
48339,8.8
48347,26.5
48355,15.6
48361,12.3
48367,6.9
48375,17.5
48381,8.7
48397,6.4
48409,20.8
48423,16.6
48439,11.6
48441,15.4
48451,11.2
48453,11.7
48469,16.5
48471,24.4
48479,28
48485,17.1
48491,6.4
48497,11.9
49005,16.6
49011,4.8
49035,9.1
49045,5.6
49049,10.6
49053,12
49057,11.2
50007,13.1
51003,8.6
51013,5.2
51015,9.6
51019,8.5
51041,6.4
51059,6.8
51061,4.4
51069,5.5
51085,5.6
51087,9.8
51095,7.5
51107,2.8
51121,26
51153,6.1
51161,8.1
51165,7.7
51177,6.7
51179,3.1
51199,4.7
51510,11.7
51550,9.5
